solv_i_id,molefrac_i,ln_gamma_i
solvent_246 / solvent_791,0.00 / 1.00,0.511844570 / 0.000000000
solvent_341 / solvent_533,0.00 / 1.00,-0.174323890 / 0.000000000
solvent_679 / solvent_721,0.00 / 1.00,2.220929530 / 0.000000000
solvent_608 / solvent_642,0.00 / 1.00,-0.490711730 / 0.000000000
solvent_329 / solvent_841,0.00 / 1.00,0.059982730 / 0.000000000
solvent_413 / solvent_555,0.00 / 1.00,1.886124990 / 0.000000000
solvent_494 / solvent_585,0.00 / 1.00,1.098501560 / 0.000000000
solvent_307 / solvent_628,0.00 / 1.00,0.202663840 / 0.000000000
solvent_181 / solvent_603,0.00 / 1.00,-0.241890770 / 0.000000000
solvent_333 / solvent_376,0.00 / 1.00,0.246229670 / 0.000000000
solvent_176 / solvent_359,0.00 / 1.00,-0.085508720 / 0.000000000
solvent_418 / solvent_527,0.00 / 1.00,3.459423390 / 0.000000000
solvent_233 / solvent_252,0.00 / 1.00,-0.012303870 / 0.000000000
solvent_394 / solvent_449,0.00 / 1.00,2.043406170 / 0.000000000
solvent_300 / solvent_831,0.00 / 1.00,1.255414990 / 0.000000000
solvent_143 / solvent_608,0.00 / 1.00,1.404517020 / 0.000000000
solvent_469 / solvent_782,0.00 / 1.00,-0.023234910 / 0.000000000
solvent_17 / solvent_597,0.00 / 1.00,3.271883730 / 0.000000000
solvent_301 / solvent_712,0.00 / 1.00,0.264641880 / 0.000000000
solvent_59 / solvent_133,0.00 / 1.00,1.499440680 / 0.000000000
solvent_35 / solvent_686,0.00 / 1.00,-0.072992170 / 0.000000000
solvent_558 / solvent_689,0.00 / 1.00,0.954789290 / 0.000000000
solvent_236 / solvent_440,0.00 / 1.00,-0.114657590 / 0.000000000
solvent_34 / solvent_174,0.00 / 1.00,0.009737230 / 0.000000000
solvent_191 / solvent_436,0.00 / 1.00,-0.227154750 / 0.000000000
solvent_149 / solvent_512,0.00 / 1.00,0.567012550 / 0.000000000
solvent_4 / solvent_835,0.00 / 1.00,-0.191653630 / 0.000000000
solvent_677 / solvent_789,0.00 / 1.00,0.897026570 / 0.000000000
solvent_122 / solvent_217,0.00 / 1.00,0.230225810 / 0.000000000
solvent_361 / solvent_793,0.00 / 1.00,0.105032960 / 0.000000000
solvent_640 / solvent_718,0.00 / 1.00,-0.198077570 / 0.000000000
solvent_71 / solvent_800,0.00 / 1.00,1.628906580 / 0.000000000
solvent_254 / solvent_439,0.00 / 1.00,0.640888620 / 0.000000000
solvent_397 / solvent_454,0.00 / 1.00,-0.028123110 / 0.000000000
solvent_268 / solvent_289,0.00 / 1.00,1.383276690 / 0.000000000
solvent_9 / solvent_811,0.00 / 1.00,-0.037721180 / 0.000000000
solvent_239 / solvent_680,0.00 / 1.00,3.308753860 / 0.000000000
solvent_312 / solvent_372,0.00 / 1.00,-2.255801410 / 0.000000000
solvent_74 / solvent_481,0.00 / 1.00,2.230577540 / 0.000000000
solvent_267 / solvent_299,0.00 / 1.00,-0.207083060 / 0.000000000
solvent_201 / solvent_778,0.00 / 1.00,-0.265539020 / 0.000000000
solvent_367 / solvent_795,0.00 / 1.00,3.831410790 / 0.000000000
solvent_411 / solvent_657,0.00 / 1.00,0.081787260 / 0.000000000
solvent_329 / solvent_385,0.00 / 1.00,0.527102660 / 0.000000000
solvent_108 / solvent_337,0.00 / 1.00,0.555564270 / 0.000000000
solvent_28 / solvent_181,0.00 / 1.00,0.292948840 / 0.000000000
solvent_615 / solvent_814,0.00 / 1.00,-0.066025500 / 0.000000000
solvent_231 / solvent_757,0.00 / 1.00,-0.541910390 / 0.000000000
solvent_66 / solvent_717,0.00 / 1.00,0.191079850 / 0.000000000
solvent_449 / solvent_672,0.00 / 1.00,-0.227129230 / 0.000000000
solvent_317 / solvent_439,0.00 / 1.00,0.411564100 / 0.000000000
solvent_746 / solvent_759,0.00 / 1.00,0.068201560 / 0.000000000
solvent_213 / solvent_540,0.00 / 1.00,-6.138252080 / 0.000000000
solvent_738 / solvent_827,0.00 / 1.00,-0.623286400 / 0.000000000
solvent_475 / solvent_542,0.00 / 1.00,0.386175980 / 0.000000000
solvent_204 / solvent_250,0.00 / 1.00,0.166754270 / 0.000000000
solvent_557 / solvent_579,0.00 / 1.00,1.558198510 / 0.000000000
solvent_316 / solvent_837,0.00 / 1.00,-0.188952320 / 0.000000000
solvent_303 / solvent_619,0.00 / 1.00,-0.300796560 / 0.000000000
solvent_551 / solvent_605,0.00 / 1.00,1.656252540 / 0.000000000
solvent_391 / solvent_701,0.00 / 1.00,0.279183090 / 0.000000000
solvent_240 / solvent_722,0.00 / 1.00,-0.195691600 / 0.000000000
solvent_443 / solvent_752,0.00 / 1.00,-2.154136090 / 0.000000000
solvent_358 / solvent_776,0.00 / 1.00,-0.144182400 / 0.000000000
solvent_317 / solvent_723,0.00 / 1.00,0.540547350 / 0.000000000
solvent_123 / solvent_709,0.00 / 1.00,1.844271880 / 0.000000000
solvent_349 / solvent_522,0.00 / 1.00,-0.079893810 / 0.000000000
solvent_477 / solvent_512,0.00 / 1.00,1.281774340 / 0.000000000
solvent_189 / solvent_588,0.00 / 1.00,0.496676520 / 0.000000000
solvent_277 / solvent_830,0.00 / 1.00,-0.909973930 / 0.000000000
solvent_427 / solvent_495,0.00 / 1.00,0.117928350 / 0.000000000
solvent_177 / solvent_226,0.00 / 1.00,-0.090438460 / 0.000000000
solvent_618 / solvent_622,0.00 / 1.00,0.104938340 / 0.000000000
solvent_200 / solvent_653,0.00 / 1.00,2.024020400 / 0.000000000
solvent_220 / solvent_544,0.00 / 1.00,2.261027280 / 0.000000000
solvent_756 / solvent_807,0.00 / 1.00,1.508061590 / 0.000000000
solvent_513 / solvent_607,0.00 / 1.00,0.694053600 / 0.000000000
solvent_402 / solvent_716,0.00 / 1.00,-0.493106320 / 0.000000000
solvent_419 / solvent_582,0.00 / 1.00,-0.007902970 / 0.000000000
solvent_82 / solvent_826,0.00 / 1.00,0.381486560 / 0.000000000
solvent_117 / solvent_301,0.00 / 1.00,0.271497390 / 0.000000000
solvent_172 / solvent_844,0.00 / 1.00,10.256596970 / 0.000000000
solvent_448 / solvent_704,0.00 / 1.00,0.088840850 / 0.000000000
solvent_80 / solvent_136,0.00 / 1.00,0.356729380 / 0.000000000
solvent_314 / solvent_727,0.00 / 1.00,-0.206586260 / 0.000000000
solvent_216 / solvent_256,0.00 / 1.00,0.410820420 / 0.000000000
solvent_30 / solvent_180,0.00 / 1.00,0.255472730 / 0.000000000
solvent_637 / solvent_724,0.00 / 1.00,-0.871160950 / 0.000000000
solvent_180 / solvent_370,0.00 / 1.00,-0.132572380 / 0.000000000
solvent_39 / solvent_818,0.00 / 1.00,-0.481239390 / 0.000000000
solvent_516 / solvent_638,0.00 / 1.00,-3.043512030 / 0.000000000
solvent_151 / solvent_442,0.00 / 1.00,1.615005040 / 0.000000000
solvent_105 / solvent_829,0.00 / 1.00,-0.276526530 / 0.000000000
solvent_98 / solvent_204,0.00 / 1.00,0.683176040 / 0.000000000
solvent_248 / solvent_630,0.00 / 1.00,0.098125740 / 0.000000000
solvent_461 / solvent_465,0.00 / 1.00,-0.138428830 / 0.000000000
solvent_27 / solvent_122,0.00 / 1.00,0.197039740 / 0.000000000
solvent_2 / solvent_779,0.00 / 1.00,0.626930020 / 0.000000000
solvent_262 / solvent_701,0.00 / 1.00,-0.009317690 / 0.000000000
solvent_348 / solvent_701,0.00 / 1.00,-0.400016820 / 0.000000000
solvent_218 / solvent_411,0.00 / 1.00,3.040010980 / 0.000000000
solvent_73 / solvent_508,0.00 / 1.00,0.062047450 / 0.000000000
solvent_203 / solvent_390,0.00 / 1.00,0.027304630 / 0.000000000
solvent_3 / solvent_499,0.00 / 1.00,0.098031300 / 0.000000000
solvent_115 / solvent_418,0.00 / 1.00,0.363196350 / 0.000000000
solvent_136 / solvent_558,0.00 / 1.00,0.711666800 / 0.000000000
solvent_429 / solvent_833,0.00 / 1.00,0.586670870 / 0.000000000
solvent_304 / solvent_651,0.00 / 1.00,0.120675580 / 0.000000000
solvent_203 / solvent_418,0.00 / 1.00,-0.546895240 / 0.000000000
solvent_11 / solvent_466,0.00 / 1.00,-0.043703610 / 0.000000000
solvent_473 / solvent_527,0.00 / 1.00,2.776890570 / 0.000000000
solvent_166 / solvent_767,0.00 / 1.00,-0.000490340 / 0.000000000
solvent_247 / solvent_765,0.00 / 1.00,-0.001604430 / 0.000000000
solvent_365 / solvent_521,0.00 / 1.00,-1.051651650 / 0.000000000
solvent_266 / solvent_641,0.00 / 1.00,-1.051170140 / 0.000000000
solvent_344 / solvent_578,0.00 / 1.00,-1.753099570 / 0.000000000
solvent_205 / solvent_335,0.00 / 1.00,-0.424978950 / 0.000000000
solvent_218 / solvent_819,0.00 / 1.00,4.638489110 / 0.000000000
solvent_496 / solvent_619,0.00 / 1.00,0.743342790 / 0.000000000
solvent_131 / solvent_497,0.00 / 1.00,0.517122350 / 0.000000000
solvent_379 / solvent_625,0.00 / 1.00,0.273447060 / 0.000000000
solvent_35 / solvent_225,0.00 / 1.00,2.594410960 / 0.000000000
solvent_467 / solvent_783,0.00 / 1.00,-0.066627290 / 0.000000000
solvent_521 / solvent_741,0.00 / 1.00,-0.560637390 / 0.000000000
solvent_377 / solvent_716,0.00 / 1.00,0.409011050 / 0.000000000
solvent_527 / solvent_638,0.00 / 1.00,2.644455220 / 0.000000000
solvent_6 / solvent_510,0.00 / 1.00,0.188146580 / 0.000000000
solvent_759 / solvent_800,0.00 / 1.00,0.934523340 / 0.000000000
solvent_387 / solvent_413,0.00 / 1.00,0.770460340 / 0.000000000
solvent_41 / solvent_839,0.00 / 1.00,-0.417414090 / 0.000000000
solvent_337 / solvent_421,0.00 / 1.00,1.618244670 / 0.000000000
solvent_91 / solvent_831,0.00 / 1.00,0.354429630 / 0.000000000
solvent_179 / solvent_204,0.00 / 1.00,0.480873600 / 0.000000000
solvent_202 / solvent_478,0.00 / 1.00,1.048904750 / 0.000000000
solvent_250 / solvent_766,0.00 / 1.00,-0.169513020 / 0.000000000
solvent_189 / solvent_580,0.00 / 1.00,1.088162870 / 0.000000000
solvent_593 / solvent_703,0.00 / 1.00,0.175621190 / 0.000000000
solvent_152 / solvent_589,0.00 / 1.00,0.969249040 / 0.000000000
solvent_349 / solvent_598,0.00 / 1.00,0.109471350 / 0.000000000
solvent_716 / solvent_774,0.00 / 1.00,5.335865250 / 0.000000000
solvent_457 / solvent_828,0.00 / 1.00,2.225512310 / 0.000000000
solvent_117 / solvent_413,0.00 / 1.00,0.048575030 / 0.000000000
solvent_192 / solvent_571,0.00 / 1.00,-0.060874780 / 0.000000000
solvent_272 / solvent_583,0.00 / 1.00,-0.801007540 / 0.000000000
solvent_697 / solvent_831,0.00 / 1.00,0.313392930 / 0.000000000
solvent_5 / solvent_347,0.00 / 1.00,0.241241950 / 0.000000000
solvent_413 / solvent_693,0.00 / 1.00,2.540094280 / 0.000000000
solvent_755 / solvent_762,0.00 / 1.00,1.147017980 / 0.000000000
solvent_344 / solvent_359,0.00 / 1.00,-0.901915500 / 0.000000000
solvent_44 / solvent_768,0.00 / 1.00,5.856029520 / 0.000000000
solvent_184 / solvent_599,0.00 / 1.00,2.453677180 / 0.000000000
solvent_190 / solvent_487,0.00 / 1.00,0.401678750 / 0.000000000
solvent_358 / solvent_641,0.00 / 1.00,0.425358030 / 0.000000000
solvent_247 / solvent_556,0.00 / 1.00,-4.846004090 / 0.000000000
solvent_299 / solvent_617,0.00 / 1.00,1.284827390 / 0.000000000
solvent_340 / solvent_638,0.00 / 1.00,0.748026130 / 0.000000000
solvent_399 / solvent_698,0.00 / 1.00,-0.585453960 / 0.000000000
solvent_202 / solvent_634,0.00 / 1.00,0.180379810 / 0.000000000
solvent_560 / solvent_694,0.00 / 1.00,0.214492600 / 0.000000000
solvent_411 / solvent_471,0.00 / 1.00,0.187277030 / 0.000000000
solvent_745 / solvent_780,0.00 / 1.00,0.435112500 / 0.000000000
solvent_70 / solvent_287,0.00 / 1.00,0.533147320 / 0.000000000
solvent_162 / solvent_349,0.00 / 1.00,-0.030992830 / 0.000000000
solvent_509 / solvent_731,0.00 / 1.00,1.513562510 / 0.000000000
solvent_150 / solvent_796,0.00 / 1.00,1.131931160 / 0.000000000
solvent_516 / solvent_814,0.00 / 1.00,1.496078340 / 0.000000000
solvent_416 / solvent_582,0.00 / 1.00,1.003981350 / 0.000000000
solvent_517 / solvent_740,0.00 / 1.00,-0.094777800 / 0.000000000
solvent_614 / solvent_670,0.00 / 1.00,1.292304260 / 0.000000000
solvent_2 / solvent_629,0.00 / 1.00,0.297309470 / 0.000000000
solvent_724 / solvent_831,0.00 / 1.00,0.874780300 / 0.000000000
solvent_172 / solvent_249,0.00 / 1.00,0.894781400 / 0.000000000
solvent_213 / solvent_448,0.00 / 1.00,-0.039764520 / 0.000000000
solvent_183 / solvent_663,0.00 / 1.00,1.252955010 / 0.000000000
solvent_102 / solvent_118,0.00 / 1.00,0.034760960 / 0.000000000
solvent_59 / solvent_724,0.00 / 1.00,0.158054070 / 0.000000000
solvent_307 / solvent_467,0.00 / 1.00,0.148224190 / 0.000000000
solvent_191 / solvent_578,0.00 / 1.00,-2.058896290 / 0.000000000
solvent_254 / solvent_724,0.00 / 1.00,-0.120075620 / 0.000000000
solvent_412 / solvent_745,0.00 / 1.00,-0.260270630 / 0.000000000
solvent_57 / solvent_828,0.00 / 1.00,-0.008797640 / 0.000000000
solvent_30 / solvent_85,0.00 / 1.00,-0.020670310 / 0.000000000
solvent_212 / solvent_648,0.00 / 1.00,-0.011114600 / 0.000000000
solvent_387 / solvent_623,0.00 / 1.00,1.609017060 / 0.000000000
solvent_514 / solvent_795,0.00 / 1.00,1.001550230 / 0.000000000
solvent_391 / solvent_478,0.00 / 1.00,-1.078040220 / 0.000000000
solvent_329 / solvent_666,0.00 / 1.00,5.830110700 / 0.000000000
solvent_125 / solvent_212,0.00 / 1.00,0.152201680 / 0.000000000
solvent_585 / solvent_766,0.00 / 1.00,0.253933020 / 0.000000000
solvent_27 / solvent_567,0.00 / 1.00,0.505074530 / 0.000000000
solvent_228 / solvent_456,0.00 / 1.00,0.494853200 / 0.000000000
solvent_89 / solvent_786,0.00 / 1.00,2.916178620 / 0.000000000
solvent_22 / solvent_657,0.00 / 1.00,-0.105527140 / 0.000000000
solvent_298 / solvent_464,0.00 / 1.00,-0.053855040 / 0.000000000
solvent_68 / solvent_272,0.00 / 1.00,-0.088366550 / 0.000000000
solvent_121 / solvent_137,0.00 / 1.00,-0.456609420 / 0.000000000
solvent_111 / solvent_133,0.00 / 1.00,1.698338170 / 0.000000000
solvent_315 / solvent_403,0.00 / 1.00,-1.328187410 / 0.000000000
solvent_345 / solvent_797,0.00 / 1.00,1.262177230 / 0.000000000
solvent_221 / solvent_315,0.00 / 1.00,-1.149181820 / 0.000000000
solvent_686 / solvent_778,0.00 / 1.00,-0.074161710 / 0.000000000
solvent_494 / solvent_746,0.00 / 1.00,-1.866049800 / 0.000000000
solvent_164 / solvent_545,0.00 / 1.00,2.580002660 / 0.000000000
solvent_172 / solvent_515,0.00 / 1.00,4.485183330 / 0.000000000
solvent_629 / solvent_647,0.00 / 1.00,-0.070572510 / 0.000000000
solvent_245 / solvent_394,0.00 / 1.00,1.342839470 / 0.000000000
solvent_108 / solvent_176,0.00 / 1.00,0.441108050 / 0.000000000
solvent_189 / solvent_456,0.00 / 1.00,0.283676340 / 0.000000000
solvent_314 / solvent_540,0.00 / 1.00,-0.147273950 / 0.000000000
solvent_442 / solvent_544,0.00 / 1.00,-0.698058590 / 0.000000000
solvent_124 / solvent_534,0.00 / 1.00,-0.609955860 / 0.000000000
solvent_30 / solvent_660,0.00 / 1.00,-0.734506010 / 0.000000000
solvent_296 / solvent_836,0.00 / 1.00,-0.195149150 / 0.000000000
solvent_374 / solvent_497,0.00 / 1.00,-1.743677320 / 0.000000000
solvent_99 / solvent_811,0.00 / 1.00,0.856454280 / 0.000000000
solvent_501 / solvent_746,0.00 / 1.00,-2.396775700 / 0.000000000
solvent_133 / solvent_710,0.00 / 1.00,-0.446082060 / 0.000000000
solvent_335 / solvent_465,0.00 / 1.00,-0.339305350 / 0.000000000
solvent_414 / solvent_618,0.00 / 1.00,0.021711050 / 0.000000000
solvent_100 / solvent_174,0.00 / 1.00,1.411503310 / 0.000000000
solvent_214 / solvent_469,0.00 / 1.00,-0.033062910 / 0.000000000
solvent_7 / solvent_772,0.00 / 1.00,-0.543679380 / 0.000000000
solvent_304 / solvent_430,0.00 / 1.00,0.738551670 / 0.000000000
solvent_349 / solvent_617,0.00 / 1.00,2.209942160 / 0.000000000
solvent_120 / solvent_411,0.00 / 1.00,-0.148872590 / 0.000000000
solvent_287 / solvent_740,0.00 / 1.00,0.449178060 / 0.000000000
solvent_662 / solvent_836,0.00 / 1.00,0.502518560 / 0.000000000
solvent_246 / solvent_676,0.00 / 1.00,0.573943540 / 0.000000000
solvent_685 / solvent_806,0.00 / 1.00,0.119354890 / 0.000000000
solvent_391 / solvent_440,0.00 / 1.00,-0.909713540 / 0.000000000
solvent_247 / solvent_608,0.00 / 1.00,-0.236102990 / 0.000000000
solvent_71 / solvent_597,0.00 / 1.00,1.754513430 / 0.000000000
solvent_473 / solvent_750,0.00 / 1.00,0.279264590 / 0.000000000
solvent_799 / solvent_807,0.00 / 1.00,0.003561590 / 0.000000000
solvent_293 / solvent_531,0.00 / 1.00,1.237519690 / 0.000000000
solvent_653 / solvent_838,0.00 / 1.00,0.903955380 / 0.000000000
solvent_350 / solvent_449,0.00 / 1.00,2.246751710 / 0.000000000
solvent_197 / solvent_361,0.00 / 1.00,0.033432690 / 0.000000000
solvent_712 / solvent_717,0.00 / 1.00,0.194706350 / 0.000000000
solvent_23 / solvent_835,0.00 / 1.00,1.709231910 / 0.000000000
solvent_311 / solvent_314,0.00 / 1.00,-0.111249290 / 0.000000000
solvent_177 / solvent_771,0.00 / 1.00,-0.874736150 / 0.000000000
solvent_25 / solvent_497,0.00 / 1.00,-0.302775630 / 0.000000000
solvent_103 / solvent_190,0.00 / 1.00,1.504912180 / 0.000000000
solvent_10 / solvent_252,0.00 / 1.00,0.125415480 / 0.000000000
solvent_17 / solvent_826,0.00 / 1.00,1.210288230 / 0.000000000
solvent_84 / solvent_125,0.00 / 1.00,-0.158680690 / 0.000000000
solvent_335 / solvent_551,0.00 / 1.00,0.154095020 / 0.000000000
solvent_178 / solvent_689,0.00 / 1.00,0.042385490 / 0.000000000
solvent_116 / solvent_814,0.00 / 1.00,-0.376349560 / 0.000000000
solvent_111 / solvent_384,0.00 / 1.00,-0.860976010 / 0.000000000
solvent_317 / solvent_780,0.00 / 1.00,6.319913170 / 0.000000000
solvent_106 / solvent_761,0.00 / 1.00,0.207613110 / 0.000000000
solvent_292 / solvent_702,0.00 / 1.00,-0.683308820 / 0.000000000
solvent_571 / solvent_790,0.00 / 1.00,2.624417410 / 0.000000000
solvent_149 / solvent_726,0.00 / 1.00,0.102916680 / 0.000000000
solvent_75 / solvent_317,0.00 / 1.00,0.323392000 / 0.000000000
solvent_144 / solvent_764,0.00 / 1.00,3.157464450 / 0.000000000
solvent_599 / solvent_624,0.00 / 1.00,0.750804970 / 0.000000000
solvent_229 / solvent_377,0.00 / 1.00,-0.546931320 / 0.000000000
solvent_438 / solvent_824,0.00 / 1.00,0.029239840 / 0.000000000
solvent_141 / solvent_704,0.00 / 1.00,-0.220918910 / 0.000000000
solvent_389 / solvent_418,0.00 / 1.00,-0.103676370 / 0.000000000
solvent_676 / solvent_681,0.00 / 1.00,0.321605480 / 0.000000000
solvent_74 / solvent_202,0.00 / 1.00,1.643561390 / 0.000000000
solvent_233 / solvent_605,0.00 / 1.00,0.090773980 / 0.000000000
solvent_525 / solvent_842,0.00 / 1.00,3.754490340 / 0.000000000
solvent_27 / solvent_815,0.00 / 1.00,1.807645760 / 0.000000000
solvent_102 / solvent_391,0.00 / 1.00,0.041756300 / 0.000000000
solvent_276 / solvent_440,0.00 / 1.00,0.181909410 / 0.000000000
solvent_13 / solvent_106,0.00 / 1.00,0.386247920 / 0.000000000
solvent_49 / solvent_377,0.00 / 1.00,0.005178490 / 0.000000000
solvent_452 / solvent_509,0.00 / 1.00,0.733257030 / 0.000000000
solvent_348 / solvent_633,0.00 / 1.00,0.054463310 / 0.000000000
solvent_102 / solvent_551,0.00 / 1.00,0.907334680 / 0.000000000
solvent_336 / solvent_391,0.00 / 1.00,0.145233640 / 0.000000000
solvent_348 / solvent_610,0.00 / 1.00,0.110638940 / 0.000000000
solvent_663 / solvent_666,0.00 / 1.00,3.142280720 / 0.000000000
solvent_15 / solvent_265,0.00 / 1.00,-0.224534510 / 0.000000000
solvent_643 / solvent_824,0.00 / 1.00,-0.858046790 / 0.000000000
solvent_204 / solvent_722,0.00 / 1.00,2.027431800 / 0.000000000
solvent_45 / solvent_165,0.00 / 1.00,0.694397100 / 0.000000000
solvent_185 / solvent_820,0.00 / 1.00,-0.012718470 / 0.000000000
solvent_276 / solvent_653,0.00 / 1.00,0.554383460 / 0.000000000
solvent_47 / solvent_809,0.00 / 1.00,-1.193987590 / 0.000000000
solvent_493 / solvent_622,0.00 / 1.00,0.826173050 / 0.000000000
solvent_271 / solvent_568,0.00 / 1.00,-0.062885850 / 0.000000000
solvent_154 / solvent_811,0.00 / 1.00,-0.048322620 / 0.000000000
solvent_675 / solvent_744,0.00 / 1.00,0.896906790 / 0.000000000
solvent_103 / solvent_447,0.00 / 1.00,2.680887930 / 0.000000000
solvent_702 / solvent_752,0.00 / 1.00,0.082822800 / 0.000000000
solvent_56 / solvent_515,0.00 / 1.00,3.918220040 / 0.000000000
solvent_91 / solvent_793,0.00 / 1.00,0.389530070 / 0.000000000
solvent_160 / solvent_181,0.00 / 1.00,0.138116460 / 0.000000000
solvent_190 / solvent_616,0.00 / 1.00,1.784187400 / 0.000000000
solvent_85 / solvent_425,0.00 / 1.00,0.031428410 / 0.000000000
solvent_323 / solvent_655,0.00 / 1.00,0.393576110 / 0.000000000
solvent_228 / solvent_235,0.00 / 1.00,-1.176901020 / 0.000000000
solvent_481 / solvent_766,0.00 / 1.00,-0.245083820 / 0.000000000
solvent_174 / solvent_636,0.00 / 1.00,-0.251982850 / 0.000000000
solvent_116 / solvent_272,0.00 / 1.00,0.205297500 / 0.000000000
solvent_77 / solvent_808,0.00 / 1.00,1.642516710 / 0.000000000
solvent_713 / solvent_724,0.00 / 1.00,0.484178880 / 0.000000000
solvent_455 / solvent_473,0.00 / 1.00,-0.025157280 / 0.000000000
solvent_136 / solvent_679,0.00 / 1.00,0.086602230 / 0.000000000
solvent_225 / solvent_566,0.00 / 1.00,0.383839950 / 0.000000000
solvent_298 / solvent_676,0.00 / 1.00,3.326749880 / 0.000000000
solvent_580 / solvent_651,0.00 / 1.00,1.030099040 / 0.000000000
solvent_412 / solvent_705,0.00 / 1.00,1.410129610 / 0.000000000
solvent_316 / solvent_343,0.00 / 1.00,0.248872250 / 0.000000000
solvent_397 / solvent_770,0.00 / 1.00,0.594431180 / 0.000000000
solvent_554 / solvent_641,0.00 / 1.00,1.000356940 / 0.000000000
solvent_69 / solvent_256,0.00 / 1.00,-0.181785220 / 0.000000000
solvent_498 / solvent_597,0.00 / 1.00,1.938666390 / 0.000000000
solvent_508 / solvent_831,0.00 / 1.00,0.535542540 / 0.000000000
solvent_53 / solvent_623,0.00 / 1.00,-0.109678210 / 0.000000000
solvent_382 / solvent_774,0.00 / 1.00,-0.587155320 / 0.000000000
solvent_175 / solvent_788,0.00 / 1.00,-1.402544660 / 0.000000000
solvent_62 / solvent_517,0.00 / 1.00,2.105883920 / 0.000000000
solvent_331 / solvent_643,0.00 / 1.00,-1.052195320 / 0.000000000
solvent_48 / solvent_760,0.00 / 1.00,0.642401950 / 0.000000000
solvent_177 / solvent_235,0.00 / 1.00,0.936514000 / 0.000000000
solvent_319 / solvent_651,0.00 / 1.00,-1.125418430 / 0.000000000
solvent_686 / solvent_698,0.00 / 1.00,-0.064387860 / 0.000000000
solvent_519 / solvent_599,0.00 / 1.00,1.498252270 / 0.000000000
solvent_757 / solvent_817,0.00 / 1.00,1.131139060 / 0.000000000
solvent_56 / solvent_192,0.00 / 1.00,-0.260369070 / 0.000000000
solvent_9 / solvent_103,0.00 / 1.00,0.123506110 / 0.000000000
solvent_432 / solvent_740,0.00 / 1.00,0.443188470 / 0.000000000
solvent_387 / solvent_573,0.00 / 1.00,2.258569240 / 0.000000000
solvent_312 / solvent_815,0.00 / 1.00,-0.057380780 / 0.000000000
solvent_108 / solvent_394,0.00 / 1.00,1.976525730 / 0.000000000
solvent_49 / solvent_110,0.00 / 1.00,-0.105467130 / 0.000000000
solvent_44 / solvent_107,0.00 / 1.00,5.736335360 / 0.000000000
solvent_301 / solvent_787,0.00 / 1.00,-0.603408130 / 0.000000000
solvent_313 / solvent_678,0.00 / 1.00,0.880566160 / 0.000000000
solvent_777 / solvent_841,0.00 / 1.00,-0.602685930 / 0.000000000
solvent_52 / solvent_422,0.00 / 1.00,5.915500440 / 0.000000000
solvent_136 / solvent_671,0.00 / 1.00,0.017356530 / 0.000000000
solvent_138 / solvent_483,0.00 / 1.00,0.039322820 / 0.000000000
solvent_427 / solvent_750,0.00 / 1.00,0.338653100 / 0.000000000
solvent_701 / solvent_731,0.00 / 1.00,3.076261320 / 0.000000000
solvent_92 / solvent_668,0.00 / 1.00,-0.125180450 / 0.000000000
solvent_245 / solvent_299,0.00 / 1.00,-0.330326350 / 0.000000000
solvent_210 / solvent_445,0.00 / 1.00,-0.152268340 / 0.000000000
solvent_669 / solvent_714,0.00 / 1.00,0.004271450 / 0.000000000
solvent_48 / solvent_370,0.00 / 1.00,-0.553515310 / 0.000000000
solvent_260 / solvent_304,0.00 / 1.00,-0.335003930 / 0.000000000
solvent_225 / solvent_280,0.00 / 1.00,-0.047727470 / 0.000000000
solvent_637 / solvent_764,0.00 / 1.00,0.642763130 / 0.000000000
solvent_551 / solvent_609,0.00 / 1.00,0.680652980 / 0.000000000
solvent_618 / solvent_825,0.00 / 1.00,-0.032482400 / 0.000000000
solvent_392 / solvent_695,0.00 / 1.00,1.786255520 / 0.000000000
solvent_450 / solvent_721,0.00 / 1.00,1.588423230 / 0.000000000
solvent_95 / solvent_116,0.00 / 1.00,0.799956070 / 0.000000000
solvent_338 / solvent_572,0.00 / 1.00,-2.538544680 / 0.000000000
solvent_582 / solvent_836,0.00 / 1.00,0.068891240 / 0.000000000
solvent_99 / solvent_549,0.00 / 1.00,0.537944170 / 0.000000000
solvent_671 / solvent_819,0.00 / 1.00,-0.010101050 / 0.000000000
solvent_332 / solvent_348,0.00 / 1.00,0.013471910 / 0.000000000
solvent_436 / solvent_580,0.00 / 1.00,1.246656000 / 0.000000000
solvent_190 / solvent_534,0.00 / 1.00,-1.727371910 / 0.000000000
solvent_35 / solvent_844,0.00 / 1.00,12.601143770 / 0.000000000
solvent_40 / solvent_118,0.00 / 1.00,2.318588180 / 0.000000000
solvent_409 / solvent_766,0.00 / 1.00,0.285871340 / 0.000000000
solvent_444 / solvent_768,0.00 / 1.00,0.192475210 / 0.000000000
solvent_137 / solvent_300,0.00 / 1.00,-0.211145500 / 0.000000000
solvent_726 / solvent_805,0.00 / 1.00,-0.018019540 / 0.000000000
solvent_184 / solvent_217,0.00 / 1.00,1.170925700 / 0.000000000
solvent_423 / solvent_678,0.00 / 1.00,1.912918790 / 0.000000000
solvent_164 / solvent_268,0.00 / 1.00,2.318961890 / 0.000000000
solvent_640 / solvent_721,0.00 / 1.00,1.222273730 / 0.000000000
solvent_93 / solvent_790,0.00 / 1.00,2.503082560 / 0.000000000
solvent_202 / solvent_367,0.00 / 1.00,-0.428771280 / 0.000000000
